o_x,h_x,l_x,c_x,t,o_y,h_y,l_y,c_y,longLiquidationUsd,shortLiquidationUsd,longAccount_x,shortAccount_x,longShortRadio_x,longAccount_y,shortAccount_y,longShortRadio_y,longAccount,shortAccount,longShortRadio_x.1,longShortRadio_y.1,buy,sell,price_x,index,googleTrend,difficulty,transcations,sentByAddress,tweets,avg,ahr999,value,puellMultiple,modelVariance,nextHalving,stockFlow365dAverage,ma110,ma350Mu2,3LowBullHigh,x8,2LowBullHigh,price_y,ma350,1.6AccumulationHigh,x21,x13,x5,BTC price,Model price,Fire sale,Buy,Accumulate,Still cheap,Hold,Is this a bubble?,FOMO intensifies,"Sell. Seriously, sell",Maximum bubble territory,values,prices,RSI,MACD,MACD_Signal
1676110.0,1756186.0,1674607.0,1707942.0,2022-04-23,0.01,0.01,-0.014644,-0.004957,112405.5963,378113.1342,86.18,13.82,6.236,84.57,15.43,5.481,50.52,49.48,1.021,0.906157647619,2694512,2923911,39684.0,46.27824967,39.68,28225928151211.0,234815,456027,138774,47175.0817,1.0106629847834394,39684.0,0.9747183646254208,-0.2241460385153537,741,49493.34157986041,41388.83783783784,90149.62857142858,135224.44285714286,1542.4610285714286,90149.62857142858,39555.0,45074.81428571429,72119.70285714287,56.648812500000005,293.28445714285715,25639.92628571429,39555.0,14003.108587,18661.397864,25364.546491,34820.445705,47007.601749,63460.262361,87185.135286,120044.681447,161154.944049,219218.038016,26.0,40371.0,35.49567234763987,-838.3146355397257,-659.2657617647178
1707942.0,1752093.0,1688042.0,1747626.0,2022-04-24,-0.004957,0.01,-0.004957,0.0051,66120.8975,327431.9759,85.68,14.32,5.983,84.29,15.71,5.365,49.47,50.53,0.979,0.857771168258,2745468,3005408,39645.0,47.5560051,45.453,28225928151211.0,221821,433552,129862,47107.8488,1.0089036217772265,39645.0,1.0169442310402743,-0.224311077246412,740,49415.15981431317,41325.36936936937,90042.61142857143,135063.91714285716,1542.4610285714286,90042.61142857143,39486.0,45021.305714285714,72034.08914285715,56.648812500000005,293.28445714285715,25639.92628571429,39486.0,14020.802089,18684.977306,25396.595637,34864.442767,47066.997782,63540.447006,87295.297281,120196.362828,161358.569933,219495.029002,24.0,39735.5,37.5956903884321,-877.4713085896365,-702.9068711297016
1747626.0,1787094.0,1683676.0,1687244.0,2022-04-25,0.0051,0.0051,-0.011727,-0.000408,806438.7849,906848.5828,86.71,13.29,6.524,85.01,14.99,5.671,49.37,50.63,0.975,0.881707634752,5910152,6081094,39226.0,50.03309438,59.0,28225928151211.0,277255,503467,187800,47030.9971,0.9881162670266186,39226.0,0.9620029179327728,-0.1967437871271826,739,49286.520285138686,41276.81981981982,89954.50857142857,134931.76285714284,1542.4610285714286,89954.50857142857,40484.0,44977.25428571428,71963.60685714286,56.648812500000005,293.28445714285715,25639.92628571429,40484.0,14038.514297,18708.581675,25428.678663,34908.48634,47126.456607,63620.716419,87405.575735,120348.204559,161562.411081,219772.31281,24.0,39546.5,54.88033528179111,-818.5374050408282,-726.032977911927
1687244.0,1728864.0,1663747.0,1677087.0,2022-04-26,-0.000408,0.01,-0.009279,-0.009204,127803.4268,1315028.9411,86.54,13.46,6.429,84.51,15.49,5.456,48.61,51.39,0.946,0.820152089159,4706375,5176712,39694.0,49.82414748,61.102,28225928151211.0,273157,513565,157378,46956.8481,1.0122159240493491,39694.0,0.8523458101685728,-0.2564424303542569,738,49297.00522737425,41227.26126126127,89847.17714285714,134770.76571428572,1542.4610285714286,89847.17714285714,38146.0,44923.58857142857,71877.74171428572,56.648812500000005,293.28445714285715,25639.92628571429,38146.0,14056.245224,18732.210992,25460.795599,34952.576465,47185.978275,63701.070672,87515.970747,120500.206778,161766.467677,220049.88969,23.0,39210.0,41.034577639181876,-949.5431796958583,-770.7350182687132
1677087.0,1693494.0,1620549.0,1646701.0,2022-04-27,-0.009204,0.008919,-0.009775,-0.007086,436491.3676,406052.6867,86.27,13.73,6.283,85.25,14.75,5.78,48.55,51.45,0.944,0.939788720592,4616622,4682474,38810.0,47.05532773,56.754,28770282779728.0,286935,517414,167153,46876.1627,0.9681349484459838,38810.0,0.9756960041326956,-0.227108647399806,737,49224.79459550774,41191.43243243243,89794.84,134692.26,1542.4610285714286,89794.84,39224.0,44897.42,71835.872,56.648812500000005,293.28445714285715,25639.92628571429,39224.0,14073.994889,18755.865279,25492.946473,34996.713181,47245.562842,63781.509837,87626.482415,120652.36962,161970.739903,220327.759891,27.0,40403.5,40.604212860310426,-955.3677247424348,-807.6615595634577
1646701.0,1757903.0,1634261.0,1654151.0,2022-04-28,-0.007086,0.01,-0.017719,0.004841,543205.1878,713794.9272,86.27,13.73,6.283,85.25,14.75,5.78,48.55,51.45,0.944,0.910117753021,4288894,4558522,39615.0,46.264795,54.773,29794407589312.0,275633,516188,161634,46798.7331,1.009169902812427,39615.0,0.7798639947270908,-0.2135161483059615,736,49201.52954310807,41174.27027027027,89736.06285714285,134604.0942857143,1542.4610285714286,89736.06285714285,39742.0,44868.03142857143,71788.85028571429,56.648812500000005,293.28445714285715,25639.92628571429,39742.0,14091.763306,18779.544557,25525.131315,35040.896528,47305.21036,63862.033986,87737.110839,120804.693223,162175.227944,220605.923663,21.0,38078.0,48.919645524245745,-907.7217959357149,-827.6736068379091
1654151.0,1753781.0,1642016.0,1683754.0,2022-04-29,0.004841,0.01,-0.009444,0.004027,69335.624,1375719.9076,86.27,13.73,6.283,85.25,14.75,5.78,48.55,51.45,0.944,0.874117572868,3592026,3943058,39101.0,43.84467586,52.014,29794407589312.0,286413,546817,146452,46712.07,0.983794044463514,39101.0,0.8981818608404121,-0.2411753378722902,735,49192.83514661239,41147.32432432433,89671.74857142857,134507.62285714285,1542.4610285714286,89671.74857142857,38651.0,44835.874285714286,71737.39885714286,56.648812500000005,293.28445714285715,25639.92628571429,38651.0,14109.550491,18803.248847,25557.350154,35085.126544,47364.920882,63942.643191,87847.856118,120957.177723,162379.931982,220884.381255,24.0,39192.0,41.10574647353972,-947.0792956348814,-851.5547445973036
1683754.0,1683821.0,1552196.0,1575190.0,2022-04-30,0.004027,0.01,-0.0332,-0.0332,238529.0658,3046657.819,83.32,16.68,4.995,82.43,17.57,4.692,49.04,50.96,0.962,0.799727348091,4022899,4552331,38509.0,40.27288978,39.58,29794407589312.0,261480,505278,119651,46622.0232,0.954925637728862,38509.0,0.8742284042648863,-0.2638488014460041,734,49167.436725929765,41109.252252252256,89620.22857142857,134430.34285714285,1542.4610285714286,89620.22857142857,37765.0,44810.11428571429,71696.18285714286,56.648812500000005,293.28445714285715,25639.92628571429,37765.0,14127.356461,18826.97817,25589.603017,35129.403271,47424.694463,64023.337525,87958.718352,121109.823257,162584.852202,221163.132918,23.0,39818.0,38.16807313642757,-1037.8000797794157,-888.8038116337261
1575190.0,1604237.0,1486664.0,1501290.0,2022-05-01,-0.0332,0.001644,-0.059449,-0.003725,1881858.9363,656589.1872,81.7,18.3,4.464,81.41,18.59,4.379,48.85,51.15,0.955,0.886107999358,5264327,5218872,38058.0,44.06595046,51.365,29794407589312.0,232155,454325,140890,46532.0735,0.9333712658040456,38058.0,0.9516931309949292,-0.2456591646716024,733,49223.41144346454,41078.90990990991,89576.46857142857,134364.70285714287,1542.4610285714286,89576.46857142857,38502.0,44788.23428571429,71661.17485714286,56.648812500000005,293.28445714285715,25639.92628571429,38502.0,14145.181231,18850.732548,25621.889935,35173.726747,47484.531156,64104.11706,88069.69764,121262.629962,162789.988787,221442.1789,20.0,38641.5,44.52919516044187,-1038.2588128866191,-918.6948118843047
1501290.0,1551202.0,1493003.0,1522960.0,2022-05-02,-0.003725,0.002558,-0.017266,0.002558,182183.9988,710062.7714,80.92,19.08,4.241,78.52,21.48,3.655,50.72,49.28,1.029,0.841828084403,4353008,4488717,38684.0,43.94640514,52.919,29794407589312.0,272046,504178,140078,46439.2986,0.9650967102887542,38684.0,0.9313262821068772,-0.2452563373290868,732,49276.42998550679,41041.18918918919,89543.94285714286,134315.91428571427,1542.4610285714286,89543.94285714286,38559.0,44771.97142857143,71635.15428571429,56.648812500000005,293.28445714285715,25639.92628571429,38559.0,14163.024818,18874.512002,25654.210936,35218.097012,47544.431014,64184.981869,88180.794081,121415.597975,162995.341921,221721.519452,22.0,37651.0,38.810444874274665,-1022.2392013565186,-939.4036897787475
