o_x,h_x,l_x,c_x,t,o_y,h_y,l_y,c_y,longLiquidationUsd,shortLiquidationUsd,longAccount_x,shortAccount_x,longShortRadio_x,longAccount_y,shortAccount_y,longShortRadio_y,longAccount,shortAccount,longShortRadio_x.1,longShortRadio_y.1,buy,sell,price_x,index,googleTrend,difficulty,transcations,sentByAddress,tweets,avg,ahr999,value,puellMultiple,modelVariance,nextHalving,stockFlow365dAverage,ma110,ma350Mu2,3LowBullHigh,x8,2LowBullHigh,price_y,ma350,1.6AccumulationHigh,x21,x13,x5,BTC price,Model price,Fire sale,Buy,Accumulate,Still cheap,Hold,Is this a bubble?,FOMO intensifies,"Sell. Seriously, sell",Maximum bubble territory,values,prices,RSI,MACD,MACD_Signal
2850.03,2971.26,2255.3,2263.16,2023-12-17,0.03691732,0.05234614,0.03195614,0.03195614,0.0,68.3891,59.84,40.16,1.49,50.0,50.0,1.0,9.77,1.36,7.184,0.941438459592,6226686,6937546,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30344.8887,0.9008799210719098,42287.4,1.5471317871602126,-0.1884181177634776,138,49959.6555181695,32500.324324324323,56670.3992,85005.5988,1542.4610285714286,56670.3992,41380.0,28335.1996,45336.31936,56.648812500000005,293.28445714285715,25639.92628571429,41380.0,28704.921789,38253.932177,51994.692372,71378.306066,96360.713286,130086.962935,178720.494377,246079.159541,330350.938578,449374.26549,67.0,42015.0,55.509554140127385,1275.341587177165,1589.2613396160746
2263.16,2594.32,2062.67,2421.95,2023-12-18,0.03195614,0.03684596,0.01163082,0.03206877,15696.1861,1391.06695,63.5,36.5,1.74,48.0,52.0,0.923,11.34,2.06,5.505,0.977458257306,10246582,9947650,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30410.3034,0.8606344989122185,41398.7,1.6921132308911295,-0.157082805148061,137,49876.36288676517,32634.61261261261,56818.663485714285,85227.99522857142,1542.4610285714286,56818.663485714285,42626.0,28409.331742857143,45454.93078857143,56.648812500000005,293.28445714285715,25639.92628571429,42626.0,28737.181189,38296.923023,52053.125472,71458.523017,96469.00617,130233.158329,178921.345503,246355.710233,330722.19627,449879.284949,73.0,42257.5,52.71219429635271,1230.0210374401504,1517.4132791808897
2421.95,2823.82,1968.33,2561.48,2023-12-19,0.03206877,0.03206877,0.01846808,0.01846808,2.25291,132.1644,57.63,42.37,1.36,50.0,50.0,1.0,10.29,2.84,3.623,0.957767180666,11218578,10937200,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30479.6728,0.9113252731979504,42671.8,1.675640464813092,-0.1644969962016063,136,49820.80441165205,32769.36936936937,56964.92154285714,85447.38231428571,1542.4610285714286,56964.92154285714,42264.0,28482.46077142857,45571.93723428572,56.648812500000005,293.28445714285715,25639.92628571429,42264.0,28769.470921,38339.954294,52111.613516,71538.815395,96577.40088,130379.491188,179122.385487,246632.520962,331093.803049,450384.779271,65.0,41255.0,40.86662691313854,1151.61865758989,1444.25435486269
2561.48,2686.64,1746.84,2025.05,2023-12-20,0.01846808,0.0268613,0.01846808,0.0268613,0.0,0.0,65.04,34.97,1.86,47.0,53.0,0.887,9.56,2.49,3.839,1.009308174093,10948806,9875579,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30547.2937,0.8925007683200261,42298.2,1.483291483440317,-0.1345572206521463,135,49820.22363436347,32928.02702702703,57117.435028571424,85676.15254285713,1542.4610285714286,57117.435028571424,43548.0,28558.717514285712,45693.94802285714,56.648812500000005,293.28445714285715,25639.92628571429,43548.0,28801.79101,38383.026018,52170.156545,71619.183257,96685.897494,130525.961617,179323.614471,246909.591924,331465.759181,450890.748815,73.0,42638.5,48.929996372869056,1179.4957826919344,1391.302640428539
2025.05,2659.32,2002.55,2595.97,2023-12-21,0.0268613,0.04165199,0.0251155,0.04165199,2.27113,0.0,62.69,37.31,1.68,44.0,56.0,0.786,10.36,2.45,4.229,1.007338986083,12766369,12946137,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30620.038,0.9498372285528563,43711.0,1.5348860291865176,-0.1266551461837899,134,49794.705131762814,33090.92792792793,57271.91114285714,85907.86671428572,1542.4610285714286,57271.91114285714,43871.0,28635.95557142857,45817.52891428572,56.648812500000005,293.28445714285715,25639.92628571429,43871.0,28834.141478,38426.138228,52228.754602,71699.62666,96794.496088,130672.569719,179525.032599,247186.923316,331838.06493,451397.193939,74.0,42383.0,52.29995427526292,1213.661669507601,1355.7744462443513
2595.97,2910.96,2079.14,2692.91,2023-12-22,0.04165199,0.04883497,0.03554428,0.0449965,11668.09266,0.0,61.24,38.76,1.58,46.0,54.0,0.852,10.23,0.8,12.787,1.016168541123,14901472,14615541,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30697.6465,0.9544652616926876,43896.3,1.7732910706613674,-0.1216708802086827,133,49700.728571548,33254.43243243243,57426.4816,86139.7224,1542.4610285714286,57426.4816,44007.0,28713.2408,45941.185280000005,56.648812500000005,293.28445714285715,25639.92628571429,44007.0,28866.522348,38469.290953,52287.407726,71780.145661,96903.19674,130819.315599,179726.640013,247464.515336,332210.720559,451904.115005,70.0,43593.5,49.29029749173634,1237.447915081044,1332.10914001169
2692.91,2957.29,2601.35,2703.36,2023-12-23,0.0449965,0.0449965,0.01224848,0.01224848,0.0,2738.15272,49.75,50.25,0.99,51.0,49.0,1.041,8.5,2.55,3.333,0.966319784347,8220561,9051538,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30777.9353,0.9558308253809046,44008.6,1.6887189197562136,-0.1241456157106135,132,49510.262986040616,33414.67567567567,57579.47051428571,86369.20577142856,1542.4610285714286,57579.47051428571,43730.0,28789.735257142856,46063.57641142857,56.648812500000005,293.28445714285715,25639.92628571429,43730.0,28898.933642,38512.484224,52346.115961,71860.740318,97011.999526,130966.19936,179928.436856,247742.368179,332583.726335,452411.512372,74.0,43886.0,50.12853470437018,1219.885025828531,1309.6643171750584
2703.36,3057.16,2629.96,2820.58,2023-12-24,0.01224848,0.03816531,0.01022039,0.01022039,0.0,888.67271,55.36,44.64,1.24,52.0,48.0,1.083,8.41,1.86,4.522,0.943503530751,6839755,6722732,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30853.9217,0.940188418735884,43724.2,1.7864344463298816,-0.139313914238965,131,49433.597395369055,33569.63063063063,57727.598628571424,86591.39794285713,1542.4610285714286,57727.598628571424,43005.0,28863.799314285712,46182.078902857145,56.648812500000005,293.28445714285715,25639.92628571429,43005.0,28931.375385,38555.718071,52404.879348,71941.410687,97120.904524,131113.221108,180130.423272,248020.482045,332957.082521,452919.3864,70.0,43983.0,46.41961549178044,1134.3883459204008,1274.609122924127
2820.58,3356.72,2647.56,3258.12,2023-12-25,0.01022039,0.04720999,0.01022039,0.04720999,0.0,0.0,63.24,36.76,1.72,46.0,54.0,0.852,8.96,0.82,10.927,0.992361037184,7164165,7597705,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,30928.8688,0.9064800367087864,43008.3,1.4246965253281303,-0.1257785641628821,130,49410.86580633575,33729.64864864865,57878.31914285714,86817.47871428571,1542.4610285714286,57878.31914285714,43571.0,28939.15957142857,46302.65531428572,56.648812500000005,293.28445714285715,25639.92628571429,43571.0,28963.847599,38598.992527,52463.697929,72022.156826,97229.911812,131260.380946,180332.599404,248298.857129,333330.789383,453427.73745,71.0,43642.0,63.263217737350764,1099.6272622781908,1239.6127507949398
3258.12,3937.24,3119.23,3698.94,2023-12-26,0.04720999,0.05267941,0.03839509,0.05030853,0.0,1050.17019,61.98,38.02,1.63,42.0,58.0,0.724,7.79,2.54,3.067,0.913911166354,7518791,8061119,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31005.843,0.9288005788941434,43612.0,1.4397961095582488,-0.1493818981569941,129,49349.76637391088,33880.576576576575,58021.46982857142,87032.20474285712,1542.4610285714286,58021.46982857142,42502.0,29010.73491428571,46417.17586285714,56.648812500000005,293.28445714285715,25639.92628571429,42502.0,28996.350306,38642.30762,52522.571745,72102.978792,97339.021466,131407.678979,180534.965396,248577.49363,333704.847185,453936.565882,73.0,42951.5,55.38493463374144,974.5850769485041,1186.6072160256526
3698.94,3741.22,2024.63,2457.47,2023-12-27,0.05030853,0.05030853,0.01747407,0.01747407,2159.62464,0.0,68.94,31.06,2.22,41.0,59.0,0.695,7.95,3.56,2.233,1.045398232567,21642777,18425781,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31083.2437,0.8805021843529388,42538.6,1.300433068234323,-0.1294391596019029,128,49461.17861838585,34035.882882882885,58166.96377142857,87250.44565714286,1542.4610285714286,58166.96377142857,43456.0,29083.481885714285,46533.57101714286,56.648812500000005,293.28445714285715,25639.92628571429,43456.0,29028.883531,38685.663383,52581.500838,72183.876642,97448.233564,131555.115311,180737.521391,248856.391745,334079.256193,454445.872057,71.0,43596.0,53.16924417338271,941.6137342890725,1137.6085196783367
2457.47,2614.09,2123.19,2312.0,2023-12-28,0.01747407,0.04999552,0.01747407,0.03611277,67937.83962,0.0,45.65,54.35,0.84,52.0,48.0,1.083,8.01,3.22,2.488,0.974174004184,18753457,19103536,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31164.1362,0.9154344894713184,43453.8,1.2451807501570904,-0.1481605237993797,127,49520.30873771759,34187.18018018018,58303.184857142856,87454.77728571428,1542.4610285714286,58303.184857142856,42701.0,29151.592428571428,46642.54788571429,56.648812500000005,293.28445714285715,25639.92628571429,42701.0,29061.447296,38729.059845,52640.48525,72264.850434,97557.548183,131702.690048,180940.267533,249135.551672,334454.016672,454955.656337,73.0,42487.5,48.4131033778957,844.8229246922128,1079.051400681112
2312.0,2903.63,2228.07,2583.28,2023-12-29,0.03611277,0.03611277,0.01763352,0.01763352,0.0,577.91535,55.16,44.84,1.23,51.0,49.0,1.041,9.15,1.9,4.816,0.962281570978,13482582,12949190,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31241.934,0.8768930165610292,42605.0,1.52283977671113,-0.1633032886171488,126,49544.72797569505,34333.126126126124,58429.44571428571,87644.16857142857,1542.4610285714286,58429.44571428571,42080.0,29214.722857142857,46743.55657142858,56.648812500000005,293.28445714285715,25639.92628571429,42080.0,29094.041624,38772.497037,52699.525023,72345.900225,97666.965402,131850.403292,181143.203965,249414.973608,334829.128889,455465.919082,73.0,43505.5,50.360934182590235,709.8235960941965,1005.205839763729
2583.28,3201.4,2547.41,2703.35,2023-12-30,0.01763352,0.03794007,0.01763352,0.03794007,0.0,0.0,65.52,34.48,1.9,47.0,53.0,0.887,9.39,1.28,7.336,0.980119947407,8707422,7720418,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31317.2704,0.8528890351408933,42090.9,1.4378329400527847,-0.1618306926334902,125,49579.983129969005,34480.18018018018,58550.805714285714,87826.20857142858,1542.4610285714286,58550.805714285714,42172.0,29275.402857142857,46840.64457142857,56.648812500000005,293.28445714285715,25639.92628571429,42172.0,29126.666538,38815.974991,52758.620198,72427.026073,97776.485296,131998.25515,181346.33083,249694.657752,335204.593107,455976.660653,65.0,42713.0,49.595774496065545,603.3047649009386,924.825624791171
2703.35,2745.55,2497.41,2497.41,2023-12-31,0.03794007,0.04218699,0.00943346,0.04218699,0.0,263.15406,64.29,35.71,1.8,49.0,51.0,0.961,9.24,1.36,6.794,0.975170726222,5527394,5276749,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31394.0798,0.8532625169959773,42174.2,1.5463108515217303,-0.1546290280943889,124,49582.54538623697,34636.198198198195,58673.97142857143,88010.95714285714,1542.4610285714286,58673.97142857143,42479.0,29336.985714285714,46939.177142857145,56.648812500000005,293.28445714285715,25639.92628571429,42479.0,29159.322061,38859.493736,52817.770817,72508.228034,97886.107944,132146.245725,181549.648274,249974.604301,335580.409595,456487.881413,68.0,42133.5,56.3037742342549,537.4646006908297,847.3534199711028
2497.41,2880.57,2283.25,2715.72,2024-01-01,0.04218699,0.04350773,0.02898061,0.03884385,0.0,0.0,67.21,32.79,2.05,49.0,51.0,0.961,9.02,1.49,6.054,1.0294363364,6225927,6241173,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31476.0264,0.8557752515669688,42313.9,1.5435869982704802,-0.1050363424238938,123,49590.58811936684,34805.69369369369,58808.26285714286,88212.39428571428,1542.4610285714286,58808.26285714286,44646.0,29404.13142857143,47046.61028571429,56.648812500000005,293.28445714285715,25639.92628571429,44646.0,29192.008217,38903.053304,52876.976923,72589.506168,97995.833424,132294.375123,181753.15644,250254.813454,335956.578616,456999.581724,67.0,42362.5,60.479352562772355,652.6215706038129,808.4070500976449
2715.72,3887.75,2438.11,2883.98,2024-01-02,0.03884385,0.07637058,0.03884385,0.07637058,40834.1,1822.39134,60.78,39.22,1.55,49.0,51.0,0.961,9.48,2.04,4.647,0.979059010116,21045889,21314239,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31561.2008,0.9315295676467809,44230.3,1.3682669089779826,-0.098330104975135,122,49658.53885756818,34974.97297297297,58944.54285714286,88416.81428571428,1542.4610285714286,58944.54285714286,45008.0,29472.27142857143,47155.63428571429,56.648812500000005,293.28445714285715,25639.92628571429,45008.0,29224.725029,38946.653726,52936.238556,72670.86053,98105.661813,132442.643448,181956.855471,250535.285409,336333.100438,457511.761946,65.0,42481.0,64.23531853081552,764.2844778506915,799.5825356482542
2883.98,3652.07,2279.04,2353.36,2024-01-03,0.07637058,0.07637058,-0.0294506,-0.0294506,2.24805,141113.72195,62.12,37.88,1.64,51.0,49.0,1.041,10.01,2.65,3.777,0.940452232242,21165319,19515925,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31644.9383,0.9598582669025276,44981.3,1.6588271482277532,-0.1464356834397246,121,49622.5152075442,35122.10810810811,59070.97142857143,88606.45714285714,1542.4610285714286,59070.97142857143,42863.0,29535.485714285714,47256.77714285714,56.648812500000005,293.28445714285715,25639.92628571429,42863.0,29257.47252,38990.295032,52995.55576,72752.291178,98215.593189,132591.050805,182160.745513,250816.020364,336709.975328,458024.422444,71.0,44655.5,46.7377845509096,671.9487558606343,774.0557796907303
2353.36,3337.33,2277.35,3335.51,2024-01-04,-0.0294506,0.02130617,-0.0294506,0.01983087,9.0788,0.0,69.14,30.86,2.24,52.0,48.0,1.083,4.78,1.85,2.584,1.001902293576,13722859,13771140,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31720.7767,0.8671012566954949,42826.7,1.6944434747496375,-0.1139380849609015,120,49592.45241668549,35280.84684684685,59203.35428571429,88805.03142857144,1542.4610285714286,59203.35428571429,44252.0,29601.677142857145,47362.68342857144,56.648812500000005,293.28445714285715,25639.92628571429,44252.0,29290.250712,39033.977254,53054.928576,72833.798171,98325.627629,132739.597299,182364.826708,251097.018519,337087.20355,458537.563578,70.0,44977.5,51.64721141374838,702.7518368557649,759.7949911237373
3335.51,3341.75,2972.81,3021.69,2024-01-05,0.01983087,0.01983087,0.00480355,0.00602474,0.0,0.0,61.39,38.61,1.59,52.0,48.0,1.083,6.26,3.06,2.046,0.993653860022,9887492,9011822,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31801.8166,0.9190354715207802,44170.4,1.4169394674290523,-0.118110668371667,119,49713.15998969941,35439.92792792793,59326.33714285714,88989.50571428571,1542.4610285714286,59326.33714285714,44175.0,29663.16857142857,47461.06971428572,56.648812500000005,293.28445714285715,25639.92628571429,44175.0,29323.05963,39077.700421,53114.357045,72915.381565,98435.765212,132888.283036,182569.099202,251378.28007,337464.785373,459051.185713,68.0,42927.0,50.7300538849296,712.7342867880652,750.3828502566029
3021.69,3171.16,2822.8,2905.27,2024-01-06,0.00602474,0.00602474,-0.00109888,-0.00109888,0.0,0.0,63.9,36.1,1.77,50.0,50.0,1.0,6.49,3.22,2.016,0.954477852043,5744111,5450321,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31879.1255,0.9149389800049026,44148.9,1.4321024993330664,-0.1227963478308158,118,49756.69662155796,35597.35135135135,59447.217142857146,89170.82571428572,1542.4610285714286,59447.217142857146,44007.0,29723.608571428573,47557.77371428572,56.648812500000005,293.28445714285715,25639.92628571429,44007.0,29355.899295,39121.464566,53173.841211,72997.041419,98546.006014,133037.108119,182773.563138,251659.805218,337842.721062,459565.28921,72.0,44228.5,51.21523207861718,699.0312571135073,740.1125316279838
2905.27,2993.57,2726.75,2791.26,2024-01-07,-0.00109888,0.00492026,-0.0097162,-0.00082776,0.0,239.81635,64.03,35.97,1.78,51.0,49.0,1.041,6.83,4.12,1.658,0.969305859351,5473676,5450679,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,31943.8666,0.9041879934213076,43956.7,1.2005012456970252,-0.1271466681427835,117,49857.79617983223,35751.86486486487,59568.23428571429,89352.35142857143,1542.4610285714286,59568.23428571429,43905.0,29784.117142857143,47654.58742857143,56.648812500000005,293.28445714285715,25639.92628571429,43905.0,29388.769733,39165.269718,53233.381114,73078.77779,98656.350115,133186.072655,182978.218661,251941.594161,338221.010885,460079.874433,70.0,44088.5,54.17672173751624,672.1923448942543,726.528494281238
2791.26,3044.6,2601.72,2731.49,2024-01-08,-0.00082776,0.00626222,-0.00414304,0.00626222,38778.2988,10530.00882,67.95,32.05,2.12,53.0,47.0,1.128,7.4,3.12,2.372,1.014570369604,10432404,9914614,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,32004.1968,0.8997024037503434,43912.3,1.2462546451597207,-0.0584109615221066,116,49942.63401699719,35931.08108108108,59706.09714285714,89559.14571428571,1542.4610285714286,59706.09714285714,47109.0,29853.04857142857,47764.877714285714,56.648812500000005,293.28445714285715,25639.92628571429,47109.0,29421.670964,39209.11591,53292.976798,73160.590735,98766.797591,133335.176748,183183.065916,252223.647098,338599.655109,460594.941745,71.0,44004.0,63.189680882791535,899.0941390826556,761.0416232415215
2731.49,3058.12,2592.55,3028.01,2024-01-09,0.00626222,0.01253545,0.00153245,0.00153245,131.90318,7231.20993,54.34,45.66,1.19,55.0,45.0,1.222,7.02,2.76,2.543,0.991572605465,16630194,16065272,36586.0,-3.32222103,9.797,62463471666733.0,573323,613490,0,32074.3462,1.0268901589852426,46990.0,1.6477213087974738,-0.0838727240566541,115,49995.19954393099,36101.02702702703,59839.30857142857,89758.96285714285,1542.4610285714286,59839.30857142857,45973.0,29919.654285714285,47871.44685714286,56.648812500000005,293.28445714285715,25639.92628571429,45973.0,29454.603014,39253.003171,53352.628303,73242.480313,98877.348521,133484.420504,183388.105047,252505.964227,338978.654001,461110.49151,71.0,43803.0,62.87558424215446,975.9990303803206,804.0331046692813
