Trial 4 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 882, 'max_depth': 7, 'min_samples_split': 152, 'min_samples_leaf': 14, 'criterion': 'gini'}.
Trial 5 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 316, 'max_depth': 5, 'min_samples_split': 25, 'min_samples_leaf': 43, 'criterion': 'gini'}.
Trial 13 finished with value: 0.6739130434782609 and parameters: {'n_estimators': 863, 'max_depth': 89, 'min_samples_split': 111, 'min_samples_leaf': 82, 'criterion': 'entropy'}.
Trial 14 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 538, 'max_depth': 23, 'min_samples_split': 54, 'min_samples_leaf': 59, 'criterion': 'gini'}.
Trial 15 finished with value: 0.6630434782608695 and parameters: {'n_estimators': 539, 'max_depth': 97, 'min_samples_split': 151, 'min_samples_leaf': 1, 'criterion': 'entropy'}.
Trial 23 finished with value: 0.6847826086956522 and parameters: {'n_estimators': 677, 'max_depth': 82, 'min_samples_split': 101, 'min_samples_leaf': 87, 'criterion': 'entropy'}.
Trial 26 finished with value: 0.5869565217391305 and parameters: {'n_estimators': 102, 'max_depth': 63, 'min_samples_split': 83, 'min_samples_leaf': 21, 'criterion': 'gini'}.
Trial 28 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 417, 'max_depth': 83, 'min_samples_split': 34, 'min_samples_leaf': 98, 'criterion': 'entropy'}.
Trial 0 finished with value: 0.6413043478260869 and parameters: {'n_estimators': 156, 'max_depth': 47, 'min_samples_split': 102, 'min_samples_leaf': 24, 'criterion': 'gini'}.
Trial 1 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 454, 'max_depth': 56, 'min_samples_split': 163, 'min_samples_leaf': 98, 'criterion': 'entropy'}.
Trial 2 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 385, 'max_depth': 92, 'min_samples_split': 88, 'min_samples_leaf': 23, 'criterion': 'gini'}.
Trial 3 finished with value: 0.6521739130434783 and parameters: {'n_estimators': 964, 'max_depth': 33, 'min_samples_split': 63, 'min_samples_leaf': 29, 'criterion': 'gini'}.
